,ticker,eps,roce,divYield,fcfYield,eps_rank,roce_rank,fcfYield_rank,overall_rank
0,RE,0.1723635667383924,0.5878709677419355,0.0197221721178613,0.3285659091024261,38,7,23,68
1,CVI,0.2525327159581629,0.3712396694214876,0.1487611447711935,0.2252762589691805,10,33,35,78
2,CEO,0.3861131669992614,0.2370224608896081,0.2108444928445225,0.3019693801471993,4,108,27,139
3,PBR,0.2393083953982756,0.221162475855934,0.1891655737616171,0.2809489890521673,11,132,29,172
4,VLO,0.1925256047069078,0.2545248631530379,0.0316408803660928,0.1593593375463063,24,90,76,190
5,TS,0.1912514216379146,0.2347036180577252,0.0310698351451981,0.1876560717108046,25,111,58,194
6,BTU,0.2269880278457772,0.1970460155324998,0.0091440674724602,0.4217925240973072,16,175,16,207
7,WU,0.1416310100417743,0.2738509983498094,0.0789604193363885,0.1437351129066122,60,74,96,230
8,HRB,0.1131749028044859,0.3675644816252913,0.0363674274543763,0.1537361584252744,114,36,82,232
9,ERF,0.1406706333246212,0.3679517067590538,0.0149909549975805,0.1190803640228159,61,35,141,237
10,MO,0.1134141452130721,0.439506807089648,0.094567587995008,0.1268201714799555,113,20,121,254
11,MPC,0.1603278564723698,0.2016145817846629,0.0208835272194668,0.2024923769329269,46,167,51,264
12,MPLX,0.1603278564723698,0.2016145817846629,0.0208835272194668,0.2024923769329269,46,167,51,264
13,CRC,0.1481976641525616,0.2643406268480189,0.0212837070857402,0.1208704353017346,54,80,138,272
14,CIVI,0.1329957386448424,0.259521428072117,0.1119738490732515,0.1237262533772582,71,86,130,287
15,MLI,0.1147620431742703,0.3016465321929781,0.0127283902606533,0.1179860179580934,107,59,144,310
16,CIG,0.233270286670182,0.1587279952229761,0.0737771916377067,0.2177596337660354,14,260,39,313
17,HPQ,0.1249264913075971,0.2761265580057526,0.039702351053012,0.1134024723423544,85,73,157,315
18,APA,0.25834672573803,0.5329439252336449,0.027870680044593,0.0698576785533307,9,10,304,323
19,SHG,0.2170850746651896,0.1413014695351873,0.0726280427351298,0.6628703751951701,18,306,9,333
20,TOL,0.1763697532681411,0.178293778710022,0.0117079290118141,0.1534117644518214,36,214,84,334
21,PBF,0.3896797866029486,0.1836749789649848,0.020225846433818,0.1231937919150737,3,198,134,335
22,VIPS,0.1163424598901636,0.2183326539317113,0.0,0.1316388551348747,100,138,116,354
23,DHI,0.1296107125847148,0.2273876822374293,0.0093185778987092,0.1134916484703589,78,124,156,358
24,ALSN,0.1285946307442438,0.2031388152077807,0.0,0.1259195567020158,82,163,122,367
25,CNQ,0.1733595367011241,0.1527145359019264,0.0819314900162849,0.1567458266978219,37,271,78,386
26,TEX,0.1335550656817625,0.2549773665024236,0.0111381830838844,0.0856247824573616,70,89,228,387
27,BP,0.1487810200055302,0.1542251925690983,0.0469511073696827,0.173335404500176,53,270,66,389
28,OGN,0.2779478627300982,0.1443107221006564,0.0798794444209666,0.146173949314558,7,295,93,395
29,ACT,0.1431965763006848,0.1638075398142164,0.0458230076967909,0.1359942625921018,59,246,107,412
30,DVN,0.129444807180093,0.2171174844818993,0.0641869366801742,0.090822097164789,79,140,214,433
31,KBH,0.1401223808475298,0.1231240691652011,0.0134930622947793,0.2486381221520654,62,352,34,448
32,WSM,0.0729967632057023,0.3705816841932163,0.0178675526355504,0.1146578472309008,264,34,152,450
33,GGB,0.184162241231724,0.1433021189193826,0.065875280483451,0.1256225519654395,28,299,123,450
34,AMG,0.1266077147730826,0.1441330312770575,0.0002822285215628,0.1621685084899984,84,297,74,455
35,NUE,0.1040890198398974,0.2029524825839077,0.0118363967242541,0.1126689317513264,131,164,160,455
36,SM,0.177985253242366,0.1717501370042287,0.0155844817402293,0.1033797751788679,35,229,191,455
37,MTG,0.1303203846930812,0.149548955818174,0.0224768477181183,0.1299573625358154,77,278,118,473
38,TMHC,0.1329310366169098,0.1461211593145188,0.0,0.1335903939485449,72,290,113,475
39,DQ,0.2161257149716088,0.105803757778126,0.0,0.215953134403251,19,421,40,480
40,VALE,0.1152832692171296,0.1842959800882325,0.07961376214381,0.1063144548389944,105,196,183,484
41,BG,0.1493162984338173,0.1242861181792479,0.0254962738743433,0.1439907059796464,51,348,95,494
42,BMY,0.0755931661517068,0.236525508594318,0.0446871003394015,0.11916874080813,247,110,140,497
43,LEN,0.108672063028391,0.1470021382924115,0.011880084493227,0.1401665378586937,122,285,98,505
44,ESNT,0.1243069560450834,0.1397699791706493,0.0189596909419898,0.1354835613169453,88,310,109,507
45,CBT,0.1145122537118053,0.1890726096333572,0.0226451198351435,0.0903231484333565,109,185,216,510
46,EOG,0.108065878348331,0.2413845109720232,0.048184232826896,0.0733578618495715,123,102,289,514
47,CHK,0.236676326269949,0.2405450926351248,0.0476483550613746,0.0539101512090706,13,103,398,514
48,ARW,0.1311349375757246,0.1723020691277076,0.0,0.0903010357461919,75,226,217,518
49,AGCO,0.1289879565726598,0.2450406917599186,0.0503663064165397,0.0644168982371572,81,99,340,520
50,MRO,0.105965720021384,0.1436146425605315,0.0171154412647151,0.1400602245327689,125,298,100,523
51,CRI,0.0848472250065431,0.1617757269180517,0.0408744663950875,0.1712534489824657,206,251,68,525
52,DFS,0.1029786757082411,0.1176822517312281,0.0263401238546249,0.2893210412755345,133,367,28,528
53,NEU,0.0743427889093973,0.2483896031638699,0.0162567496917217,0.101044051962341,256,94,197,547
54,BHP,0.0855217122292672,0.26819690467217,0.0878184411313302,0.0768973959197916,203,78,268,549
55,AB,0.0753782743415154,0.3935760562973516,0.0844958316371243,0.0742837680111773,250,28,278,556
56,SIG,0.1800039670173382,0.1342098734805259,0.0161701490607875,0.0936002859095586,33,320,210,563
57,OC,0.0895509670418747,0.2032985526758667,0.014076573414609,0.089326340870365,190,162,221,573
58,BBWI,0.0886277834978701,0.3073790129372304,0.0183715906567338,0.066218480608887,195,55,328,578
59,MAIN,0.1209872535893505,0.1422505046020529,0.0766956405053927,0.1044504717763236,90,302,187,579
60,ICL,0.1001594716816052,0.1369539291413953,0.0733780364406196,0.1281496808099534,142,318,119,579
61,PII,0.0929155239332316,0.1756315422191207,0.027220478670177,0.1016748633016389,176,215,195,586
62,SU,0.149504545142688,0.1099288084923108,0.049546473128059,0.1174408217178728,50,407,146,603
63,TPR,0.0925091323117795,0.2010874226026105,0.0279998260512042,0.0781781235668991,179,170,260,609
64,BYD,0.0977344073788631,0.1704783956840468,0.010026705330225,0.0852095771594965,157,232,233,622
65,SKM,0.1818389639208223,0.0755861331989232,0.1286637399548064,0.3074868279127901,32,568,25,625
66,MSM,0.0603673162644108,0.2553087616073907,0.031080374828951,0.1067739222733389,358,88,180,626
67,INGR,0.089767108103052,0.1635434412265758,0.0270836998009208,0.1034485647035172,189,248,190,627
68,CPG,0.113919697686426,0.0967532581431653,0.0423278694367064,0.1948000862419825,111,464,54,629
69,HP,0.1005055254284397,0.1417828552683871,0.0466423430792714,0.1014598764439108,140,304,196,640
70,RDN,0.1328397602977525,0.108893956331451,0.0321369145152523,0.1130243310459007,73,411,159,643
71,GIL,0.0935752208774535,0.2307069378020433,0.0231135600771875,0.0593805784764105,172,116,364,652
72,EME,0.0620434267093594,0.2840511282067539,0.0032035490993101,0.0804955911564535,340,67,247,654
73,GEF,0.0978637404203692,0.1205814995519267,0.0317403278367845,0.1187605914511106,156,360,142,658
74,MAS,0.0602501575926478,0.3675027262813522,0.0170531833714873,0.0776351149596894,359,37,264,660
75,G,0.0997367134188203,0.1808763222232129,0.0158019622115783,0.0682604509776557,145,206,310,661
76,MKL,0.1053251707935347,0.1048705585345818,0.0018995952769792,0.1334037217809911,127,426,115,668
77,MTCH,0.0647285396381946,0.2306008020888716,0.0,0.0823964359410352,323,117,239,679
78,MTH,0.115808833500041,0.2224262739395764,0.0061974941706652,0.0497536474904067,103,130,447,680
79,PGR,0.0418879314927088,0.9288725792096668,0.0029797278040118,0.1115390689114865,516,2,164,682
80,EBAY,0.1196871782893427,0.1191228070175438,0.0228387532116996,0.0852127723997127,93,362,232,687
