,ticker,eps,roce,divYield,eps_rank,roce_rank,overall_rank
0,PBF,0.57541184,0.497484548,0.014721326,6,21,27
1,SWN,0.284601461,0.778613023,0.0,27,3,30
2,DQ,0.634915201,0.44335949,0.0,4,33,37
3,LPX,0.23518711,0.620655412,0.014942827,40,10,50
4,ERF,0.221426368,0.89771845,0.010073994,52,2,54
5,PBR,0.527250274,0.366559486,0.542769914,8,52,60
6,APA,0.232549736,0.390675398,0.014066549,41,44,85
7,RRC,0.196368659,0.523872006,0.006411598,71,17,88
8,ICL,0.229432082,0.384514436,0.123908202,45,47,92
9,SQM,0.171288828,0.712109629,0.098151339,90,5,95
10,MLI,0.197288137,0.463094424,0.016718587,70,26,96
11,VLO,0.230055259,0.360515613,0.031171609,43,56,99
12,NUE,0.219991823,0.373606235,0.015430527,54,49,103
13,CHK,0.415826671,0.296145409,0.102103307,12,93,105
14,SM,0.260930618,0.308645801,0.004608018,29,78,107
15,CF,0.193174129,0.438139308,0.017666253,74,34,108
16,BTU,0.34549882,0.294452377,0.0,16,95,111
17,CIVI,0.251683068,0.301313526,0.108273649,32,88,120
18,CVI,0.204465865,0.359328358,0.153349399,64,58,122
19,AMG,1.735059935,0.265616079,0.001999925,1,121,122
20,E,0.297022318,0.285394955,0.064358044,22,102,124
21,AR,0.199446755,0.359487423,0.013144486,68,57,125
22,AN,0.228008985,0.304253081,0.0,46,82,128
23,PHM,0.244608944,0.293601429,0.013468685,36,96,132
24,MPC,0.241730877,0.282611184,0.021298828,37,105,142
25,MTDR,0.17958165,0.353364137,0.0052129,82,62,144
26,MTH,0.293271421,0.252802701,0.0,24,130,154
27,GGB,0.219691652,0.287836111,0.113286399,55,99,154
28,EC,0.32024605,0.241922689,0.128046653,18,140,158
29,DVN,0.148785055,0.391249515,0.083581829,116,43,159
30,WSM,0.127925495,0.495089978,0.024651005,138,22,160
31,CPG,0.289509786,0.239178408,0.039150373,25,142,167
32,CRC,0.146868396,0.361210543,0.016536709,117,55,172
33,CTRA,0.207846313,0.274721797,0.101852363,61,116,177
34,VALE,0.238719147,0.23571634,0.083897303,39,149,188
35,GPI,0.27054777,0.227559892,0.008532245,28,160,188
36,MRNA,0.118156944,0.449964175,0.0,159,29,188
37,X,0.407952204,0.213497645,0.0,13,178,191
38,PXD,0.143121415,0.322983706,0.114369427,121,71,192
39,DDS,0.114003828,0.450823966,0.03468959,166,27,193
40,NVR,0.113847204,0.449262032,0.301158389,167,30,197
41,EQT,0.141465298,0.319187393,0.016265955,123,75,198
42,FANG,0.181637437,0.26570857,0.065101243,80,120,200
43,OLN,0.172976009,0.274418461,0.015147948,89,117,206
44,BAM,0.168598192,0.267837864,0.280322007,97,119,216
45,COP,0.119548257,0.346916599,0.036645253,155,64,219
46,OXY,0.214324875,0.225297601,0.020294358,57,163,220
47,HRB,0.11245636,0.367564482,0.036136532,169,51,220
48,UMC,0.176627857,0.245690075,0.07584877,86,135,221
49,ARW,0.210451463,0.220672832,0.0,58,166,224
50,MOS,0.23174962,0.209996527,0.012788015,42,189,231
51,PSX,0.22464305,0.210476772,0.0365371,48,186,234
52,EOG,0.1031081,0.400747392,0.018684107,199,40,239
53,STM,0.134202824,0.277801605,0.006581309,129,113,242
54,KBH,0.299521729,0.188530021,0.019237379,21,229,250
55,TMHC,0.301687504,0.186697536,0.0,20,235,255
56,HPQ,0.124926491,0.276126558,0.039664065,148,115,263
57,ABG,0.249494968,0.182112192,0.0,33,238,271
58,LEN,0.181264237,0.205092492,0.017208165,81,193,274
59,TX,0.294627118,0.176731184,0.08835083,23,253,276
60,RHI,0.07905037,0.607008807,0.022743116,272,11,283
61,MTG,0.217642507,0.18824356,0.027904098,56,230,286
62,EXPD,0.080129815,0.51588673,0.012620957,270,19,289
63,CHRW,0.081692141,0.481352823,0.024782097,265,24,289
64,ESNT,0.199454652,0.192662973,0.022102955,67,223,290
65,MUSA,0.102406574,0.296237381,0.004550389,200,92,292
66,DHI,0.129610713,0.227387682,0.009318578,134,161,295
67,XOM,0.120217588,0.238609169,0.03221978,153,143,296
68,CVE,0.125792754,0.22930948,0.018079052,143,156,299
69,CNQ,0.128184488,0.218695826,0.057734003,137,169,306
70,PFE,0.109175473,0.258144814,0.031261101,181,125,306
71,AB,0.078386735,0.448232405,0.103220662,276,31,307
72,TOL,0.255740257,0.161328824,0.017672417,31,284,315
73,PII,0.100746331,0.278441145,0.025044663,205,112,317
74,MAS,0.078287543,0.393268648,0.0239315,277,42,319
75,SU,0.152349591,0.200727536,0.043571614,112,208,320
76,OC,0.150607162,0.198196115,0.016504894,113,211,324
77,TNET,0.083110924,0.342955326,0.0,259,66,325
78,LAD,0.22381643,0.164105035,0.008086733,51,277,328
79,RIO,0.107691198,0.234117523,0.101682341,185,153,338
80,MT,0.321056428,0.142372036,0.011458905,17,322,339
81,TKC,0.141399408,0.19639523,0.015966699,124,215,339
82,VSH,0.138633643,0.196052424,0.018488473,127,217,344
83,DKS,0.106393402,0.230369484,0.016633219,189,155,344
84,BBWI,0.078240757,0.334386391,0.018190976,278,67,345
85,ACT,0.179281897,0.171922223,0.063848825,83,265,348
86,TSM,0.085659946,0.278886788,0.024035827,244,109,353
87,DE,0.097459234,0.245497675,0.013680339,216,137,353
88,CVX,0.105660298,0.224562754,0.032772121,192,165,357
89,TS,0.123026868,0.200739096,0.025597286,150,207,357
90,GIL,0.107339642,0.215606989,0.024532482,188,172,360
91,WLK,0.171237973,0.167104975,0.012879047,91,271,362
92,NNI,0.11936995,0.20070473,0.010727697,156,209,365
93,BC,0.120724188,0.196175022,0.0193658,152,216,368
94,IBP,0.090919782,0.238071476,0.025502773,227,145,372
95,MUR,0.14450178,0.175303827,0.019198934,119,257,376
96,LYB,0.14297916,0.172301976,0.119554444,122,262,384
97,CBT,0.116287022,0.18907261,0.022996085,161,226,387
98,PAG,0.161399842,0.158251343,0.018022982,101,290,391
99,ASX,0.149395839,0.16537715,0.072852326,115,276,391
100,OGN,0.129218442,0.17505626,0.040865156,135,258,393
101,M,0.185644462,0.144106622,0.027286739,79,316,395
102,LII,0.058204948,0.675172343,0.01662664,395,8,403
103,MCK,0.07086177,0.305019843,0.005812258,324,81,405
104,WSO,0.067777509,0.322105813,0.037481148,335,73,408
105,EVR,0.109066182,0.187649473,0.029126658,182,232,414
106,AVT,0.165999028,0.144243023,0.022897257,99,315,414
107,TEX,0.100897585,0.198159943,0.01197318,204,212,416
108,MO,0.06916466,0.301079822,0.079184176,327,89,416
109,WMS,0.07315415,0.285177592,0.005714577,313,103,416
110,SSD,0.087761075,0.212270103,0.011533922,237,182,419
111,UPS,0.076619262,0.247131209,0.033930629,289,133,422
112,POOL,0.062819301,0.354976238,0.01264205,363,60,423
113,BBY,0.074105161,0.263042204,0.041204349,300,123,423
114,HCA,0.084781035,0.213889411,0.009810742,250,177,427
115,AGCO,0.085982645,0.210349585,0.03907687,242,187,429
116,TPR,0.092509132,0.201087423,0.027999826,225,205,430
117,RDY,0.058081102,0.406030447,0.006415943,396,39,435
118,AZO,0.055676954,0.464808105,0.051884468,411,25,436
119,CIG,0.170873178,0.133895352,0.087399209,93,344,437
120,TXN,0.057371222,0.418627694,0.028177408,400,38,438
121,YPF,0.449540933,0.106703528,0.0,11,430,441
122,AMAT,0.061669095,0.327696194,0.008770036,374,70,444
123,CRI,0.086322265,0.198439265,0.040776929,240,210,450
124,BYD,0.107684565,0.171393048,0.008111496,186,266,452
125,MC,0.059578952,0.331594292,0.069210972,385,68,453
126,NVO,0.052137549,0.621765835,0.023759323,445,9,454
127,GFI,0.077102204,0.21870374,0.0,286,168,454
128,PM,0.05767631,0.356558451,0.049797451,398,59,457
129,HD,0.053261172,0.450717165,0.024253216,431,28,459
130,BG,0.107646841,0.165554072,0.023334626,187,273,460
131,GWW,0.05463897,0.397095733,0.013068144,420,41,461
132,CLF,0.159668177,0.127515454,0.0,102,362,464
133,WES,0.114773024,0.153156161,0.069381824,165,300,465
134,HTZ,0.353003098,0.099860302,0.0,15,451,466
135,DOW,0.126117532,0.139430102,0.055214266,142,330,472
136,EXP,0.085467863,0.18893639,0.0069435,245,227,472
137,ASR,0.073355857,0.224895199,0.03312071,309,164,473
138,WU,0.170788395,0.121103052,0.068307856,94,380,474
139,PSA,0.133953555,0.133464361,0.079594265,130,346,476
140,WY,0.081742599,0.197435897,0.070307331,264,213,477
141,CTSH,0.077301091,0.204619097,0.019038347,282,195,477
142,NRG,0.156620788,0.124845335,0.042586488,107,371,478
143,PAC,0.064507378,0.257797861,0.051362661,352,126,478
144,NEU,0.089538436,0.179098012,0.026990167,231,248,479
145,VIPS,0.098335489,0.167727965,0.0,212,270,482
146,ACI,0.139292045,0.130055132,0.389971709,125,357,482
147,ALSN,0.111848791,0.145072775,0.016851042,170,313,483
148,CSL,0.07569632,0.207646982,0.011010374,294,191,485
149,LRCX,0.053677695,0.35452199,0.010803613,427,61,488
150,HP,0.115019353,0.141782855,0.053377882,164,324,488
151,ALB,0.080431698,0.194255801,0.007261372,269,220,489
152,CNS,0.054311093,0.328986719,0.03408756,423,69,492
153,RLI,0.097962417,0.16324423,0.061262801,213,279,492
154,TPX,0.075895393,0.201444385,0.011741552,291,202,493
155,SEE,0.067550744,0.228604612,0.016283082,337,158,495
156,MRO,0.194791012,0.107916525,0.011864347,73,425,498
157,MMM,0.08511269,0.177055128,0.049635564,247,252,499
158,SNA,0.075002048,0.201159768,0.025757531,297,204,501
159,MSM,0.060367316,0.255308762,0.031080375,379,127,506
160,KLAC,0.0500691,0.386726386,0.002653431,463,45,508
161,NTAP,0.093352961,0.160289718,0.031655007,223,287,510
162,GSK,0.084169995,0.172300193,0.059300421,253,263,516
163,TLK,0.075342368,0.193262827,0.040436641,296,221,517
164,THC,0.191678621,0.102865961,0.0,76,441,517
165,SCCO,0.056514045,0.276516828,0.057955544,405,114,519
166,FRO,0.195707183,0.100992915,0.013824838,72,449,521
167,ULTA,0.047797874,0.44423196,0.0,491,32,523
168,SIG,0.106364355,0.138348238,0.019623899,190,334,524
169,OMC,0.078499572,0.174339105,0.034649526,274,259,533
170,CHH,0.053201375,0.287227754,0.008416226,433,101,534
171,LOW,0.047384842,0.419845435,0.017446338,497,37,534
172,CR,0.07247528,0.190915008,0.01869248,315,224,539
173,TER,0.051701001,0.301975434,0.00503721,454,87,541
174,ADM,0.085451658,0.155920602,0.017700701,246,296,542
175,TROW,0.063207068,0.212115526,0.044929397,359,184,543
176,TGS,0.102107157,0.134174738,0.0,201,343,544
177,GEF,0.095943894,0.14078506,0.028347638,219,328,547
178,UL,0.063595907,0.205271596,0.036025475,356,192,548
179,AIT,0.062036441,0.21477693,0.009562235,372,176,548
180,AVGO,0.059633439,0.214888892,0.036480412,384,173,557
181,CNHI,0.093307777,0.138152181,0.019452533,224,336,560
182,LKQ,0.077635602,0.161871608,0.019189305,281,281,562
183,HOG,0.11591971,0.114251444,0.014568765,163,402,565
184,NXPI,0.067343666,0.190173295,0.01969325,340,225,565
185,SID,0.110373903,0.117742279,0.191283949,178,392,570
186,PCAR,0.087340479,0.138659021,0.029137661,238,332,570
187,CSCO,0.0591592,0.213075713,0.029558494,391,180,571
