,ticker,eps,roce,divYield,fcfYield,eps_rank,roce_rank,fcfYield_rank,overall_rank
0,PBF,0.5754118400863563,0.4974845479373293,0.0147213262758467,0.8278145795903097,5,18,6,29
1,DQ,0.6349152005089814,0.4433594900547494,0.0,0.4152333354494722,3,29,19,51
2,PBR,0.5272502737700023,0.3665594855305466,0.542769914299835,0.577825874123715,7,43,12,62
3,RRC,0.1963686588365591,0.5238720058055897,0.0064115975900411,0.2285584033084919,59,15,54,128
4,AR,0.199446755158136,0.3594874233683028,0.0131444855893516,0.3033573916137333,56,48,32,136
5,SWN,0.2846014613185282,0.7786130227633669,0.0,0.1599247800486484,22,3,112,137
6,BTU,0.3454988197476907,0.2944523774003111,0.0,0.2528845728690598,12,83,43,138
7,ERF,0.2214263677564971,0.8977184499175503,0.010073993734638,0.1746108863310239,45,2,92,139
8,MLI,0.1972881369478014,0.4630944235374615,0.0167185869641737,0.2056757507638032,58,23,70,151
9,LPX,0.2351871101871102,0.6206554121151936,0.0149428274428274,0.1580907830907831,33,8,115,156
10,CIVI,0.2516830680840447,0.3013135256905452,0.1082736493508601,0.2281624940726682,26,79,55,160
11,CVI,0.2044658646778869,0.3593283582089552,0.1533493985084151,0.2200230500338131,53,49,60,162
12,CF,0.1931741292153643,0.4381393083292742,0.0176662532994326,0.1958875733495909,63,30,76,169
13,CHK,0.4158266714470446,0.2961454089627076,0.1021033074946957,0.1939288893174831,10,82,78,170
14,AN,0.2280089852822136,0.3042530808536219,0.0,0.2216689648550982,39,74,58,171
15,MPC,0.2417308772966582,0.2826111842481827,0.0212988283316634,0.2321555635431739,30,92,51,173
16,SM,0.2609306178228707,0.3086458014774922,0.0046080177401432,0.1892466915989595,24,70,81,175
17,APA,0.232549736219944,0.3906753982992865,0.0140665489722385,0.1642172804327851,34,38,105,177
18,CPG,0.2895097857886157,0.2391784077406213,0.039150372811916,0.2273297819108666,20,125,56,201
19,CRC,0.1468683958271437,0.3612105434428896,0.0165367086904608,0.1900320083412279,101,46,80,227
20,ICL,0.2294320822504259,0.384514435695538,0.1239082019008784,0.1358101904196592,38,40,149,227
21,CTRA,0.2078463133739515,0.2747217973735562,0.1018523631588958,0.191535618671297,51,101,79,231
22,SQM,0.171288827561745,0.7121096293633749,0.098151339493063,0.131716409552654,78,5,157,240
23,OLN,0.1729760086225979,0.2744184611587585,0.0151479480005621,0.219658282107979,77,102,61,240
24,TMHC,0.3016875043001502,0.1884288021434935,0.0,0.3086769229146875,17,199,31,247
25,OXY,0.2143248754425207,0.2252976006908036,0.0202943580073532,0.2135706932192744,48,143,66,257
26,TX,0.2946271181763261,0.1767311841698157,0.0883508302465812,0.3621155368636375,19,218,24,261
27,MTDR,0.1795816501223414,0.3533641369757797,0.0052129003152776,0.1323346939112602,71,53,155,279
28,EQT,0.1414652981114088,0.3191873926018283,0.0162659551087277,0.1628156372846387,107,66,107,280
29,EC,0.3202460500036099,0.2419226885907976,0.1280466529934208,0.1376235494776933,15,123,144,282
30,GPI,0.2705477701319582,0.2275598924125852,0.0085322450460777,0.1549484501194874,23,141,119,283
31,GGB,0.2196916524995,0.287836110508422,0.1132863990790766,0.1282342414874994,47,86,159,292
32,PSX,0.2246430501406043,0.2104767724142486,0.036537099864124,0.1756348375509677,41,161,91,293
33,MOS,0.2317496203699559,0.2099965270386843,0.0127880149456124,0.1739027727935208,35,164,95,294
34,E,0.2970223184621491,0.2853949545678869,0.064358043944164,0.1076911768889551,18,89,199,306
35,HRB,0.1124563599069562,0.3675644816252913,0.0361365321228918,0.1527600937502218,153,42,121,316
36,PXD,0.143121415123254,0.3229837064012809,0.1143694265656698,0.1355138140899339,104,63,150,317
37,MT,0.3210564282040928,0.1423720356484497,0.0114589049842785,0.2324570032202284,14,280,50,344
38,NVR,0.1138472040765532,0.449262032169735,0.3011583893883452,0.1221666945302542,150,27,171,348
39,UMC,0.1766278574527443,0.2456900751621969,0.0758487699108145,0.1275649738975467,74,119,161,354
40,FANG,0.1816374372453111,0.2657085697954517,0.0651012428977722,0.1167846723738662,70,105,183,358
41,ABG,0.2494949684472547,0.182112192329708,0.0,0.1471252290622987,27,205,129,361
42,SU,0.1523495909521858,0.2007275362722825,0.043571613761361,0.1772404627580789,96,181,89,366
43,CNQ,0.1281844880310227,0.218695826110148,0.0577340027467146,0.167459080642521,120,148,103,371
44,DDS,0.1140038282577591,0.4508239655102945,0.034689590182066,0.1058972303309512,149,24,201,374
45,COP,0.1195482570875285,0.3469165987503396,0.0366452526811128,0.116188362281803,136,55,186,377
46,ESNT,0.199454652378438,0.1926629731532605,0.0221029553202078,0.1403113491842769,55,192,139,386
47,DVN,0.1487850550050185,0.3912495149398525,0.0835818289047311,0.0842249563245366,100,37,251,388
48,CVE,0.1257927538936233,0.2293094800200635,0.0180790516061068,0.1490985431808915,125,137,126,388
49,OC,0.1506071616678681,0.1981961147086031,0.0165048944293554,0.1594664064718604,97,184,114,395
50,WSM,0.1279254953668984,0.4950899782426612,0.0246510046870288,0.0792462685125052,121,19,265,405
51,NNI,0.1193699501928086,0.2007047300853373,0.0107276968693971,0.1830454304279535,137,182,87,406
52,WLK,0.1712379733376522,0.1671049747972824,0.0128790465038109,0.17428626836814,79,236,93,408
53,TOL,0.1763697532681411,0.178293778710022,0.0117079290118141,0.1534117644518214,75,216,120,411
54,YPF,0.4495409333224562,0.1067035277476482,0.0,0.3180878033547314,9,374,30,413
55,CIG,0.1708731784781373,0.1338953515753779,0.0873992088354695,0.2639514567840436,81,298,38,417
56,CHRW,0.081692141439462,0.4813528228012791,0.0247820967025647,0.1321697347784341,245,21,156,422
57,HPQ,0.1249264913075971,0.2761265580057526,0.0396640652757188,0.1134024723423544,129,100,193,422
58,XOM,0.1202175883810509,0.2386091686609648,0.0322197802803107,0.1259329922061279,134,126,164,424
59,TKC,0.1413994075738785,0.1963952302279749,0.0159666988880847,0.1415665304912604,108,186,136,430
60,ACT,0.1792818965636818,0.1719222231573156,0.0638488247544991,0.1443928635072548,72,230,133,435
61,EXPD,0.0801298148821636,0.5158867304663894,0.0126209569124418,0.1205933350929556,250,17,175,442
62,VALE,0.2387191474691037,0.2357163404243661,0.0838973031050932,0.0767311545436405,32,132,280,444
63,LYB,0.1429791597377757,0.1723019760175646,0.1195544442320505,0.1557596255875975,105,227,117,449
64,DHI,0.1296107125847148,0.2273876822374293,0.0093185778987092,0.1134916484703589,118,142,192,452
65,TNET,0.0831109238188884,0.3429553264604811,0.0,0.1184623308517113,237,57,178,472
66,PAG,0.1613998418983407,0.1582513428708185,0.0180229823453147,0.137599213038694,87,252,145,484
67,MRNA,0.1181569438470499,0.449964174826845,0.0,0.0647305620381889,140,26,323,489
68,CLF,0.1596681772352647,0.1275154544258845,0.0,0.1770104137140014,88,312,90,490
69,MRO,0.1947910122175813,0.107916524895089,0.0118643473665193,0.2145289719273362,62,369,64,495
70,PFE,0.1091754725322696,0.2581448138881007,0.031261101292789,0.0905886371760649,164,111,233,508
71,STM,0.1342028240053397,0.2778016052937933,0.0065813089727346,0.0636710599201831,112,98,328,538
72,SIG,0.1063643550937429,0.1383482377695949,0.0196238988028009,0.1860740908064151,174,288,83,545
73,EVR,0.109066181996439,0.187649473235217,0.029126658109462,0.1163146016171164,165,201,184,550
74,ASX,0.1493958385158743,0.1653771500824039,0.0728523257900202,0.0949647835829098,99,239,220,558
75,IBP,0.0909197817414002,0.2380714756859845,0.0255027733386831,0.0945129825612463,209,128,222,559
76,RIO,0.1076911978313316,0.2341175226976427,0.1016823411407428,0.081366682805895,169,135,258,562
77,CBT,0.1162870216763545,0.1890726096333572,0.0229960851854364,0.091723021591911,143,196,228,567
78,BYD,0.1076845645979513,0.1713930479914997,0.0081114960346814,0.1190662927348173,170,231,176,577
79,BBWI,0.0772290226667181,0.3339003645200486,0.0179557477700119,0.0787736031200525,259,58,267,584
80,LAZ,0.1077937880588949,0.1048218650109811,0.0548380473436278,0.2365239031988002,168,378,49,595
81,WES,0.114773024173609,0.1531561605672038,0.0693818242177151,0.1144990821693379,147,262,191,600
82,MCK,0.0708617696871064,0.3050198426512567,0.0058122575136615,0.0915828658231395,305,73,229,607
83,VIPS,0.098335489367255,0.1677279651978016,0.0,0.115793897328059,192,235,189,616
84,ITUB,0.1200163117758161,0.0804608639843467,0.0270968078502667,0.4908255810288924,135,470,14,619
85,ALSN,0.1118487912377865,0.1450727749940348,0.0168510419943934,0.1032126322156599,154,271,205,630
86,SYF,0.1910560432749539,0.0559629149262896,0.0301534073603707,0.4240481278788269,66,558,17,641
87,BBDO,0.1272715827895164,0.0862893667560436,0.0,0.1962361558989167,123,448,74,645
88,BBD,0.1272715827895164,0.0862893667560436,0.0,0.1962361558989167,123,448,74,645
89,WMS,0.0731541503434888,0.2851775922433407,0.0057145774156775,0.0780318534890375,291,90,273,654
90,TPR,0.0925091323117795,0.2010874226026105,0.0279998260512042,0.0781781235668991,208,178,272,658
91,MPLX,0.1189083585581456,0.1106601731601731,0.0918645457724822,0.1270184874760314,139,359,162,660
92,WY,0.081742599164208,0.1974358974358974,0.0703073313024065,0.0899603391865672,244,185,234,663
93,MAS,0.0782875434686019,0.3932686476652516,0.02393150025462,0.0571387758017284,255,36,377,668
