,ticker,eps,roce,divYield,fcfYield,eps_rank,roce_rank,fcfYield_rank,overall_rank
0,PBF,0.57541184,0.497484548,0.014721326,0.82781458,6,21,9,36
1,DQ,0.634915201,0.44335949,0.0,0.415233335,4,33,21,58
2,PBR,0.527250274,0.366559486,0.542769914,0.577825874,8,52,15,75
3,AMG,1.735059935,0.265616079,0.001999925,1.306451008,1,121,6,128
4,RRC,0.196368659,0.523872006,0.006411598,0.228558403,70,17,62,149
5,SWN,0.284601461,0.778613023,0.0,0.15992478,27,3,121,151
6,ERF,0.221426368,0.89771845,0.010073994,0.174610886,51,2,101,154
7,NUE,0.219991823,0.373606235,0.015430527,0.234937417,53,49,56,158
8,BTU,0.34549882,0.294452377,0.0,0.252884573,16,95,48,159
9,AR,0.199446755,0.359487423,0.013144486,0.303357392,67,57,36,160
10,LPX,0.23518711,0.620655412,0.014942827,0.158090783,39,10,124,173
11,MLI,0.197288137,0.463094424,0.016718587,0.205675751,69,26,79,174
12,CIVI,0.251683068,0.301313526,0.108273649,0.228162494,31,88,63,182
13,CVI,0.204465865,0.359328358,0.153349399,0.22002305,63,58,69,190
14,CF,0.193174129,0.438139308,0.017666253,0.195887573,73,34,85,192
15,CHK,0.415826671,0.296145409,0.102103307,0.193928889,12,93,87,192
16,AN,0.228008985,0.304253081,0.0,0.221668965,45,82,67,194
17,APA,0.232549736,0.390675398,0.014066549,0.16421728,40,44,112,196
18,SM,0.260930618,0.308645801,0.004608018,0.189246692,29,78,90,197
19,MPC,0.241730877,0.282611184,0.021298828,0.232155564,36,105,58,199
20,X,0.407952204,0.213497645,0.0,0.280588362,13,177,38,228
21,CPG,0.289509786,0.239178408,0.039150373,0.227329782,25,143,65,233
22,ICL,0.229432082,0.384514436,0.123908202,0.13581019,44,47,157,248
23,CRC,0.146868396,0.361210543,0.016536709,0.190032008,115,55,89,259
24,SQM,0.171288828,0.712109629,0.098151339,0.13171641,89,5,165,259
25,CTRA,0.207846313,0.274721797,0.101852363,0.191535619,60,116,88,264
26,OLN,0.172976009,0.274418461,0.015147948,0.219658282,88,117,70,275
27,TMHC,0.301687504,0.186697536,0.0,0.308676923,20,234,35,289
28,OXY,0.214324875,0.225297601,0.020294358,0.213570693,56,163,74,293
29,TX,0.294627118,0.176731184,0.08835083,0.362115537,23,253,27,303
30,MTDR,0.17958165,0.353364137,0.0052129,0.132334694,80,62,163,305
31,EQT,0.141465298,0.319187393,0.016265955,0.162815637,121,74,114,309
32,EC,0.32024605,0.241922689,0.128046653,0.137623549,18,141,153,312
33,GPI,0.27054777,0.227559892,0.008532245,0.15494845,28,160,129,317
34,GGB,0.219691652,0.287836111,0.113286399,0.128234241,54,99,166,319
35,PSX,0.22464305,0.210476772,0.0365371,0.175634838,47,185,100,332
36,MOS,0.23174962,0.209996527,0.012788015,0.173902773,41,188,104,333
37,E,0.297022318,0.285394955,0.064358044,0.107691177,22,102,211,335
38,HRB,0.11245636,0.367564482,0.036136532,0.152760094,166,51,131,348
39,PXD,0.143121415,0.322983706,0.114369427,0.135513814,119,71,158,348
40,MTH,0.293271421,0.252802701,0.0,0.111817355,24,130,203,357
41,NVR,0.113847204,0.449262032,0.301158389,0.122166695,164,30,179,373
42,UMC,0.176627857,0.245690075,0.07584877,0.127564974,84,136,168,388
43,FANG,0.181637437,0.26570857,0.065101243,0.116784672,79,120,190,389
44,MT,0.321056428,0.142372036,0.011458905,0.232457003,17,323,57,397
45,MTG,0.217642507,0.18824356,0.027904098,0.162665043,55,229,115,399
46,DDS,0.114003828,0.450823966,0.03468959,0.10589723,163,27,213,403
47,ABG,0.249494968,0.182112192,0.0,0.147125229,32,237,139,408
48,COP,0.119548257,0.346916599,0.036645253,0.116188362,153,64,193,410
49,SU,0.152349591,0.200727536,0.043571614,0.177240463,110,206,98,414
50,CNQ,0.128184488,0.218695826,0.057734003,0.167459081,136,169,110,415
51,DVN,0.148785055,0.391249515,0.083581829,0.084224956,114,43,267,424
52,CVE,0.125792754,0.22930948,0.018079052,0.149098543,142,156,137,435
53,ESNT,0.199454652,0.192662973,0.022102955,0.140311349,66,221,149,436
54,OC,0.150607162,0.198196115,0.016504894,0.159466406,111,209,123,443
55,WSM,0.127925495,0.495089978,0.024651005,0.079246269,137,22,284,443
56,CHRW,0.081692141,0.481352823,0.024782097,0.132169735,265,24,164,453
57,NNI,0.11936995,0.20070473,0.010727697,0.18304543,154,207,96,457
58,HPQ,0.124926491,0.276126558,0.039664065,0.113402472,146,115,200,461
59,WLK,0.171237973,0.167104975,0.012879047,0.174286268,90,272,102,464
60,TOL,0.176369753,0.178293779,0.011707929,0.153411764,85,250,130,465
61,XOM,0.120217588,0.238609169,0.03221978,0.125932992,151,144,172,467
62,EXPD,0.080129815,0.51588673,0.012620957,0.120593335,270,19,183,472
63,YPF,0.449540933,0.106703528,0.0,0.318087803,11,432,34,477
64,CIG,0.170873178,0.133895352,0.087399209,0.263951457,92,344,44,480
65,TKC,0.141399408,0.19639523,0.015966699,0.14156653,122,213,146,481
66,VALE,0.238719147,0.23571634,0.083897303,0.076731155,38,150,298,486
67,ACT,0.179281897,0.171922223,0.063848825,0.144392864,81,266,142,489
68,DHI,0.129610713,0.227387682,0.009318578,0.113491648,133,161,199,493
69,MUR,0.14450178,0.175303827,0.019198934,0.157483547,117,257,125,499
70,MUSA,0.102406574,0.296237381,0.004550389,0.104917658,198,92,215,505
71,LYB,0.14297916,0.172301976,0.119554444,0.155759626,120,263,127,510
72,TNET,0.083110924,0.342955326,0.0,0.118462331,259,66,186,511
73,MRNA,0.118156944,0.449964175,0.0,0.064730562,157,29,335,521
74,PAG,0.161399842,0.158251343,0.018022982,0.137599213,99,290,154,543
75,PFE,0.109175473,0.258144814,0.031261101,0.090588637,178,125,248,551
76,PHM,0.244608944,0.293601429,0.013468685,0.051944367,35,96,423,554
77,CVX,0.105660298,0.224562754,0.032772121,0.112021068,190,165,201,556
78,CLF,0.159668177,0.127515454,0.0,0.177010414,100,362,99,561
79,AB,0.078386735,0.448232405,0.103220662,0.08586073,276,31,258,565
80,MRO,0.194791012,0.107916525,0.011864347,0.214528972,72,427,72,571
81,STM,0.134202824,0.277801605,0.006581309,0.06367106,127,113,340,580
82,RHI,0.07905037,0.607008807,0.022743116,0.074810321,272,11,303,586
83,EVR,0.109066182,0.187649473,0.029126658,0.116314602,179,231,191,601
84,DOW,0.126117532,0.139430102,0.055214266,0.149100539,141,330,136,607
85,IBP,0.090919782,0.238071476,0.025502773,0.094512983,229,146,234,609
86,RIO,0.107691198,0.234117523,0.101682341,0.081366683,183,154,274,611
87,SIG,0.106364355,0.138348238,0.019623899,0.186074091,188,334,92,614
88,ASX,0.149395839,0.16537715,0.072852326,0.094964784,113,276,233,622
89,BBWI,0.078240757,0.334386391,0.018190976,0.079805572,278,67,282,627
90,CBT,0.116287022,0.18907261,0.022996085,0.091723022,159,225,243,627
91,BYD,0.107684565,0.171393048,0.008111496,0.119066293,184,267,184,635
92,MO,0.06916466,0.301079822,0.079184176,0.096607335,327,89,229,645
93,MCK,0.07086177,0.305019843,0.005812258,0.091582866,324,81,244,649
94,WES,0.114773024,0.153156161,0.069381824,0.114499082,162,300,198,660
95,LAZ,0.107793788,0.104821865,0.054838047,0.236523903,182,435,55,672
96,SSD,0.087761075,0.212270103,0.011533922,0.087393997,237,181,255,673
97,VIPS,0.098335489,0.167727965,0.0,0.115793897,211,271,196,678
98,KBH,0.299521729,0.188530021,0.019237379,0.050680585,21,228,436,685
99,ALSN,0.111848791,0.145072775,0.016851042,0.103212632,167,314,218,699
100,ITUB,0.120016312,0.080460864,0.027096808,0.490825581,152,537,17,706
101,WMS,0.07315415,0.285177592,0.005714577,0.078031853,313,103,291,707
102,MAS,0.078287543,0.393268648,0.0239315,0.057138776,277,42,388,707
103,MSM,0.060367316,0.255308762,0.031080375,0.106773922,378,127,212,717
104,TPR,0.092509132,0.201087423,0.027999826,0.078178124,227,203,290,720
105,WY,0.081742599,0.197435897,0.070307331,0.089960339,264,211,249,724
106,DKS,0.106393402,0.230369484,0.016633219,0.056892643,187,155,389,731
107,SYF,0.191056043,0.055962915,0.030153407,0.424048128,76,637,20,733
108,BBD,0.127271583,0.086289367,0.0,0.196236156,139,512,83,734
109,BBDO,0.127271583,0.086289367,0.0,0.196236156,139,512,83,734
110,MPLX,0.118908359,0.110660173,0.091864546,0.127018487,156,414,169,739
111,EXP,0.085467863,0.18893639,0.0069435,0.079920433,245,226,280,751
112,HP,0.100505525,0.141782855,0.046642343,0.101459876,204,325,223,752
113,OGN,0.129218442,0.17505626,0.040865156,0.060734077,134,258,364,756
114,ASR,0.073355857,0.224895199,0.03312071,0.078470924,309,164,288,761
115,AMAT,0.062290352,0.327696194,0.008858386,0.068995468,371,70,321,762
116,GFI,0.077102204,0.21870374,0.0,0.072753683,285,168,312,765
117,VSH,0.138633643,0.196052424,0.018488473,0.051398001,125,215,430,770
118,GSK,0.084169995,0.172300193,0.059300421,0.088001347,253,264,254,771
119,WSO,0.067777509,0.322105813,0.037481148,0.060675587,335,73,365,773
120,CTSH,0.077301091,0.204619097,0.019038347,0.075478271,282,193,299,774
121,PFSI,0.158151085,0.049898788,0.018166652,1.978987402,103,668,4,775
122,UPS,0.076619262,0.247131209,0.033930629,0.061936336,288,134,354,776
123,HCA,0.084781035,0.213889411,0.009810742,0.062004489,250,176,352,778
124,GEF,0.097782073,0.1205815,0.03171384,0.118661485,214,382,185,781
125,PAGP,0.481900752,0.032984473,0.06712633,0.807587761,9,763,10,782
126,WU,0.170788395,0.121103052,0.068307856,0.07003337,93,380,317,790
127,DVA,0.110631162,0.093585039,0.0,0.138418891,171,470,152,793
128,TROW,0.063207068,0.212115526,0.044929397,0.0860856,358,183,257,798
129,DFS,0.146235193,0.057791655,0.023406954,0.229874265,116,627,59,802
130,AEL,0.285224769,0.033580254,0.017338592,0.467835116,26,760,18,804
131,PM,0.05767631,0.356558451,0.049797451,0.061998209,397,59,353,809
132,CSL,0.07569632,0.207646982,0.011010374,0.06696339,294,190,326,810
133,BSMX,0.166214373,0.055787405,0.112236764,0.203611979,97,640,80,817
134,ACI,0.139292045,0.130055132,0.389971709,0.064423146,123,357,338,818
135,CSCO,0.0591592,0.213075713,0.029558494,0.089289915,389,179,251,819
136,WF,0.372306406,0.021626208,0.077620638,2.165865332,14,805,3,822
137,NVO,0.052137549,0.621765835,0.023759323,0.060221334,444,9,371,824
138,NLY,0.198971286,0.038039739,0.175205789,0.502598938,68,742,16,826
139,RDN,0.206817747,0.075092298,0.037702912,0.103174756,61,550,219,830
140,AYI,0.067450711,0.168284099,0.003275063,0.09969449,338,269,225,832
141,M,0.185644462,0.144106622,0.027286739,0.050472581,78,317,439,834
142,MXL,0.047195163,0.214846371,0.0,0.126929096,498,174,170,842
143,WD,0.084282491,0.06891134,0.031591153,0.615192414,252,580,12,844
144,TEX,0.100897585,0.198159943,0.01197318,0.050986913,202,210,433,845
145,TSM,0.085659946,0.278886788,0.024035827,0.043900805,244,109,494,847
146,SUN,0.131584167,0.087942478,0.099449929,0.103882237,129,504,216,849
147,NTAP,0.093352961,0.160289718,0.031655007,0.063603117,225,286,341,852
148,IP,0.111551074,0.102217529,0.049916139,0.092192809,168,447,240,855
149,MAN,0.086058401,0.138216984,0.032208588,0.080049508,241,335,279,855
150,CMC,0.130458324,0.082554034,0.011370644,0.111897419,131,525,202,858
151,MMP,0.098573575,0.114032826,0.082747018,0.091877724,210,407,242,859
152,RDY,0.058081102,0.406030447,0.006415943,0.051555628,394,39,429,862
153,SAN,0.206335158,0.027787158,0.039698841,0.362316375,62,780,26,868
154,SHG,0.245027262,0.020593394,0.081334641,0.350989307,34,812,29,875
155,TLK,0.075342368,0.193262827,0.040436641,0.061346326,296,219,360,875
156,THC,0.191678621,0.102865961,0.0,0.061528837,75,443,358,876
157,MFG,0.583531265,0.011936418,0.220015784,9.121836298,5,872,2,879
158,PSA,0.133953555,0.133464361,0.079594265,0.054115752,128,346,405,879
159,LKQ,0.077635602,0.161871608,0.019189305,0.069459877,281,281,319,881
160,EPD,0.104851334,0.088945794,0.078208782,0.116024017,191,497,194,882
161,COF,0.1873937,0.029387186,0.029993176,0.327811669,77,774,31,882
162,LRCX,0.053677695,0.35452199,0.010803613,0.055658231,426,61,399,886
163,EOG,0.1031081,0.400747392,0.018684107,0.028597581,197,40,649,886
164,LYG,0.174427459,0.026202722,0.047129603,0.580125471,86,786,14,886
165,HUN,0.08328083,0.103083295,0.030958743,0.116231072,256,442,192,890
166,SWKS,0.062537997,0.152544441,0.025783879,0.103103699,367,303,220,890
167,WAL,0.17716414,0.028268226,0.027848936,0.352602384,83,779,28,890
168,MMM,0.08511269,0.177055128,0.049635564,0.056604285,247,252,392,891
169,CE,0.170926602,0.06206089,0.026803168,0.115154353,91,603,197,891
170,DE,0.096812686,0.245497675,0.013589583,0.03924504,216,138,538,892
171,RKT,0.829262414,0.008248278,0.0,12.69571939,3,888,1,892
172,BBY,0.074105161,0.263042204,0.041204349,0.046687818,300,123,472,895
173,HMC,0.116160287,0.046468057,0.035665891,0.250030303,160,690,49,899
174,NXPI,0.067343666,0.190173295,0.01969325,0.06446821,339,223,337,899
175,PBA,0.117529171,0.088178328,0.065311566,0.091934633,158,501,241,900
176,QCOM,0.058629768,0.188061431,0.028066407,0.079845766,390,230,281,901
177,AZO,0.055676954,0.464808105,0.051884468,0.047214624,410,25,467,902
178,TS,0.123026868,0.200739096,0.025597286,0.037095303,148,205,554,907
179,PII,0.100746331,0.278441145,0.025044663,0.033726813,203,112,594,909
180,ABC,0.060215119,0.180878951,0.013883448,0.07821954,380,243,289,912
181,JWN,0.083077827,0.080799305,0.040352087,0.160391069,260,535,120,915
182,HOG,0.11591971,0.114251444,0.014568765,0.062038734,161,403,351,915
183,TEF,0.104782096,0.046867417,0.07278995,0.276101605,192,685,39,916
184,HDB,1.329161067,-0.00066128,0.231774465,1.163188334,2,908,7,917
185,CHTR,0.092303292,0.090307871,0.0,0.111421304,228,487,205,920
186,SEE,0.067550744,0.228604612,0.016283082,0.051666151,337,158,428,923
187,NSP,0.041421624,0.364837853,0.017689239,0.073296067,561,53,310,924
188,AGCO,0.085982645,0.210349585,0.03907687,0.043484253,242,186,498,926
189,BCS,0.225194144,0.010233871,0.075140691,1.082094328,46,878,8,932
190,AIT,0.062036441,0.21477693,0.009562235,0.056803387,372,175,391,938
191,CRH,0.088954417,0.107275683,0.030391654,0.080569369,233,431,277,941
192,BC,0.120724188,0.196175022,0.0193658,0.035272148,150,214,578,942
193,ABM,0.096786369,0.11020507,0.022145707,0.073446719,217,418,308,943
194,PAA,0.125792114,0.035452934,0.094859627,0.23690646,143,751,54,948
195,SNA,0.075002048,0.201159768,0.025757531,0.048619294,297,202,453,952
196,VZ,0.12838943,0.092461814,0.065263822,0.062823601,135,475,343,953
197,GIL,0.107339642,0.215606989,0.024532482,0.03348472,186,172,597,955
198,MCHP,0.048526959,0.235139642,0.015078337,0.067981549,482,151,323,956
199,BBVA,0.178183649,0.013953756,0.060643501,0.590503944,82,861,13,956
200,LNC,0.258460596,-0.00758096,0.059000578,0.767578485,30,915,11,956
201,HBAN,0.156070211,0.020967054,0.070433831,0.265905144,107,809,43,959
202,ABEV,0.062970357,0.181567807,0.053320468,0.061451183,359,241,359,959
203,VLO,0.230055259,0.360515613,0.031171609,-0.02035534,42,56,869,967
204,OMC,0.078499572,0.174339105,0.034649526,0.050581988,274,259,437,970
205,ALLY,0.220134167,0.006970484,0.063445904,0.348695603,52,891,30,973
206,FNF,0.109806196,0.028954207,0.047266928,0.407616838,175,776,22,973
207,FOX,0.073375458,0.114069491,0.017707233,0.085456647,307,405,261,973
208,FOXA,0.073375458,0.114069491,0.017707233,0.085456647,307,405,261,973
209,TXN,0.057371222,0.418627694,0.028177408,0.038839838,399,38,539,976
210,SBS,0.079888804,0.09140602,0.0,0.099665133,271,481,226,978
211,POOL,0.062819301,0.354976238,0.01264205,0.037033375,362,60,556,978
212,LOW,0.047384842,0.419845435,0.017446338,0.049762549,496,37,446,979
213,EME,0.054915342,0.203846869,0.003676194,0.060665117,418,195,367,980
214,BERY,0.081905578,0.077715356,0.017080474,0.124539516,262,543,175,980
215,BKNG,0.038056958,0.302125896,0.0,0.076985068,599,86,297,982
216,BDC,0.080782425,0.14407976,0.00283874,0.055893572,268,318,396,982
217,NYCB,0.156287975,0.018880216,0.084155064,0.245973228,106,826,51,983
218,THO,0.060178371,0.107641151,0.015430685,0.124359886,381,428,176,985
219,C,0.168598841,0.019226104,0.056820478,0.220751477,95,822,68,985
220,CIB,0.203965368,0.049092188,0.069476898,0.090966584,65,674,247,986
221,PKG,0.084903262,0.137255727,0.034652205,0.055305018,249,338,401,988
222,KB,0.229712746,-0.001443785,0.075149603,0.269283356,43,909,41,993
223,UNM,0.159634532,0.029716534,0.030877414,0.15991391,101,773,122,996
224,PFG,0.224618685,0.021310318,0.029984326,0.142690471,48,806,144,998
225,GOOG,0.051741036,0.25287535,0.0,0.051773821,451,128,426,1005
226,MFC,0.155712379,0.01189482,0.060416316,0.384457614,108,873,24,1005
227,GOOGL,0.051741036,0.25287535,0.0,0.051773821,451,128,426,1005
228,ULTA,0.047797874,0.44423196,0.0,0.045004079,490,32,484,1006
229,GWW,0.05463897,0.397095733,0.013068144,0.038038895,419,41,546,1006
230,SNV,0.138850116,0.021023274,0.042010522,0.212769333,124,808,77,1009
231,RLI,0.097962417,0.16324423,0.061262801,0.041064688,212,279,521,1012
232,UL,0.063595907,0.205271596,0.036025475,0.047060306,355,191,469,1015
233,LEG,0.070522103,0.114983404,0.052174519,0.077647157,325,401,293,1019
234,GIB,0.051746783,0.209820956,3.01e-05,0.057267427,450,189,387,1026
235,CHH,0.053201375,0.287227754,0.008416226,0.043803136,432,101,495,1028
236,HD,0.053261172,0.450717165,0.024253216,0.035795991,430,28,571,1029
237,KEY,0.119050551,0.017481171,0.053035561,0.270829135,155,836,40,1031
238,PCAR,0.087340479,0.138659021,0.029137661,0.047460717,238,332,465,1035
239,FITB,0.108258439,0.020041747,0.041028444,0.263608857,181,816,45,1042
240,DCI,0.04688545,0.238419145,0.014948984,0.05571894,504,145,398,1047
241,JBL,0.05449009,0.228414326,0.002997621,0.046896117,420,159,470,1049
242,SCCO,0.056514045,0.276516828,0.057955544,0.039710836,404,114,532,1050
243,ADM,0.085451658,0.155920602,0.017700701,0.042509247,246,296,509,1051
244,VRTX,0.044918261,0.274002405,0.0,0.053074401,525,118,411,1054
245,ORLY,0.039988479,0.530985798,0.0,0.04757625,581,16,464,1061
246,VLY,0.103610772,0.019340075,0.039915167,0.260183794,194,821,47,1062
