,ticker,eps,roce,divYield,eps_rank,roce_rank,overall_rank
0,PBF,0.57541184,0.497484548,0.014721326,6,20,26
1,SWN,0.284601461,0.778613023,0.0,27,3,30
2,DQ,0.634915201,0.44335949,0.0,4,32,36
3,LPX,0.23518711,0.620655412,0.014942827,40,10,50
4,ERF,0.221426368,0.89771845,0.010073994,52,2,54
5,PBR,0.527250274,0.366559486,0.542769914,8,54,62
6,APA,0.232549736,0.390675398,0.014066549,41,45,86
7,RRC,0.196368659,0.523872006,0.006411598,71,16,87
8,ICL,0.229432082,0.384514436,0.123908202,45,48,93
9,SQM,0.171288828,0.712109629,0.098151339,89,5,94
10,MLI,0.197288137,0.463094424,0.016718587,70,25,95
11,VLO,0.230055259,0.360515613,0.031171609,44,58,102
12,NUE,0.219991823,0.373606235,0.015430527,54,51,105
13,CHK,0.415826671,0.296145409,0.102103307,12,94,106
14,CF,0.193174129,0.438139308,0.017666253,74,33,107
15,SM,0.260930618,0.308645801,0.004608018,29,79,108
16,BTU,0.34549882,0.294452377,0.0,16,96,112
17,CIVI,0.251683068,0.301313526,0.108273649,32,89,121
18,AMG,1.735059935,0.265616079,0.001999925,1,121,122
19,CVI,0.204465865,0.359328358,0.153349399,64,60,124
20,E,0.297022318,0.285394955,0.064358044,22,103,125
21,AR,0.199446755,0.359487423,0.013144486,68,59,127
22,AN,0.228008985,0.304253081,0.0,47,83,130
23,DHI,0.247287594,0.292830481,0.013361762,34,99,133
24,PHM,0.244608944,0.293601429,0.013468685,37,97,134
25,MPC,0.241730877,0.282611184,0.021298828,38,106,144
26,MTDR,0.17958165,0.353364137,0.0052129,81,64,145
27,MTH,0.293271421,0.252802701,0.0,24,130,154
28,GGB,0.219691652,0.287836111,0.113286399,55,100,155
29,EC,0.32024605,0.241922689,0.128046653,18,140,158
30,WSM,0.127925495,0.495089978,0.024651005,140,21,161
31,DVN,0.148785055,0.391249515,0.083581829,117,44,161
32,CPG,0.289509786,0.239178408,0.039150373,25,142,167
33,CRC,0.146868396,0.361210543,0.016536709,118,57,175
34,CTRA,0.207846313,0.274721797,0.101852363,61,116,177
35,VALE,0.238719147,0.23571634,0.083897303,39,149,188
36,GPI,0.27054777,0.227559892,0.008532245,28,160,188
37,X,0.407952204,0.213497645,0.0,13,177,190
38,MRNA,0.118156944,0.449964175,0.0,162,28,190
39,DDS,0.114003828,0.450823966,0.03468959,167,26,193
40,PXD,0.143121415,0.322983706,0.114369427,122,72,194
41,NVR,0.113847204,0.449262032,0.301158389,168,29,197
