,ticker,eps,roce,divYield,eps_rank,roce_rank,overall_rank
0,PBF,0.57541184,0.497484548,0.014721326,6,20,26
1,SWN,0.284601461,0.778613023,0.0,27,3,30
2,DQ,0.860150992,0.44335949,0.0,3,33,36
3,LPX,0.23518711,0.620655412,0.014942827,41,10,51
4,ERF,0.221426368,0.89771845,0.010073994,53,2,55
5,PBR,0.527250274,0.366559486,0.542769914,8,55,63
6,RRC,0.196368659,0.523872006,0.006411598,71,16,87
7,APA,0.232549736,0.390675398,0.014066549,42,46,88
8,MLI,0.199209054,0.463094424,0.016881369,69,26,95
9,ICL,0.229432082,0.384514436,0.123908202,46,49,95
10,SQM,0.171288828,0.712109629,0.098151339,91,5,96
11,VLO,0.230055259,0.360515613,0.031171609,45,59,104
12,NUE,0.219991823,0.373606235,0.015430527,54,52,106
13,CHK,0.415826671,0.296145409,0.102103307,12,94,106
14,SM,0.260930618,0.308645801,0.004608018,29,79,108
15,CF,0.193174129,0.438139308,0.017666253,75,34,109
16,BTU,0.34549882,0.294452377,0.0,16,96,112
17,CIVI,0.251683068,0.301313526,0.108273649,32,89,121
18,CVI,0.204465865,0.359328358,0.153349399,64,61,125
19,E,0.297022318,0.285394955,0.064358044,22,104,126
20,AR,0.199446755,0.359487423,0.013144486,68,60,128
21,AN,0.228008985,0.304253081,0.0,48,83,131
22,DHI,0.247287594,0.292830481,0.013361762,35,99,134
23,PHM,0.244608944,0.293601429,0.013468685,38,97,135
24,MPC,0.241730877,0.282611184,0.021298828,39,107,146
25,MTDR,0.17958165,0.353364137,0.0052129,83,65,148
26,MTH,0.293271421,0.252802701,0.0,24,129,153
27,CMC,0.249058501,0.268729765,0.013861818,34,120,154
28,GGB,0.219691652,0.287836111,0.113286399,55,101,156
29,EC,0.32024605,0.241922689,0.128046653,18,141,159
30,WSM,0.127925495,0.495089978,0.024651005,141,21,162
31,DVN,0.148785055,0.391249515,0.083581829,119,45,164
32,CPG,0.289509786,0.239178408,0.039150373,25,143,168
33,CTRA,0.207846313,0.274721797,0.101852363,61,117,178
34,CRC,0.146868396,0.361210543,0.016536709,120,58,178
35,GPI,0.27054777,0.227559892,0.008532245,28,161,189
36,VALE,0.238719147,0.23571634,0.083897303,40,150,190
37,X,0.407952204,0.213497645,0.0,13,179,192
38,MRNA,0.118156944,0.449964175,0.0,164,29,193
39,PXD,0.143121415,0.322983706,0.114369427,124,72,196
40,DDS,0.114003828,0.450823966,0.03468959,170,27,197
41,NVR,0.113847204,0.449262032,0.301158389,171,30,201
