,ticker,eps,roce,divYield,eps_rank,roce_rank,overall_rank
0,PBF,0.57541184,0.497484548,0.014721326,6,19,25
1,SWN,0.284601461,0.778613023,0.0,27,3,30
2,DQ,0.860150992,0.44335949,0.0,3,31,34
3,LPX,0.23518711,0.620655412,0.014942827,42,10,52
4,ERF,0.221426368,0.89771845,0.010073994,54,2,56
5,PBR,0.527250274,0.366559486,0.542769914,8,52,60
6,RRC,0.196368659,0.523872006,0.006411598,72,15,87
7,APA,0.232549736,0.390675398,0.014066549,43,44,87
8,ICL,0.229432082,0.384514436,0.123908202,47,47,94
9,MLI,0.199209054,0.463094424,0.016881369,70,25,95
10,SQM,0.171288828,0.712109629,0.098151339,92,5,97
11,VLO,0.230055259,0.360515613,0.031171609,46,56,102
12,CHK,0.415826671,0.296145409,0.102103307,12,92,104
13,NUE,0.219991823,0.373606235,0.015430527,55,50,105
14,SM,0.260930618,0.308645801,0.004608018,29,77,106
15,CF,0.193174129,0.438139308,0.017666253,76,32,108
16,BTU,0.34549882,0.294452377,0.0,16,94,110
17,CIVI,0.253451242,0.301313526,0.109034315,32,87,119
18,CVI,0.204465865,0.359328358,0.153349399,65,58,123
19,E,0.297022318,0.285394955,0.064358044,22,102,124
20,AR,0.199446755,0.359487423,0.013144486,69,57,126
21,AN,0.228008985,0.304253081,0.0,49,81,130
22,DHI,0.247287594,0.292830481,0.013361762,35,97,132
23,PHM,0.244608944,0.293601429,0.013468685,39,95,134
24,MPC,0.241730877,0.282611184,0.021298828,40,105,145
25,MTDR,0.17958165,0.353364137,0.0052129,84,62,146
26,MTH,0.293271421,0.252802701,0.0,24,128,152
27,CMC,0.249058501,0.268729765,0.013861818,34,119,153
28,GGB,0.219691652,0.287836111,0.113286399,56,99,155
29,THO,0.245305167,0.271154181,0.020469478,38,118,156
30,EC,0.32024605,0.241922689,0.128046653,18,139,157
31,DVN,0.148785055,0.391249515,0.083581829,119,43,162
32,WSM,0.127925495,0.495089978,0.024651005,143,20,163
33,CPG,0.289509786,0.239178408,0.039150373,25,141,166
34,CRC,0.146868396,0.361210543,0.016536709,120,55,175
35,CTRA,0.207846313,0.274721797,0.101852363,62,115,177
36,GPI,0.27054777,0.227559892,0.008532245,28,157,185
37,VALE,0.238719147,0.23571634,0.083897303,41,146,187
38,X,0.407952204,0.213497645,0.0,13,174,187
39,MRNA,0.118156944,0.449964175,0.0,164,27,191
